ɠ
ɓ
ʃ
ɧ
h
i
ɺ
o
ǃ
ʊ
ɾ
b
ɬ
ɟ
d
j
ə
ɶ
ɘ
ʜ
ɮ
ä
ʋ
ɭ
r
œ
ɑ
ɣ
ɨ
ɻ
ɫ
ŋ
ɜ
ʄ
f
ʑ
ʢ
u
ɞ
ħ
χ
ʂ
ʉ
p
ɛ
ʈ
ɱ
ɲ
ɹ
ɗ
ø
ɢ
ɵ
ð
k
ʏ
ʕ
ⱱ
m
ʍ
æ
ɥ
t
ɔ
ɖ
β
ɴ
ʛ
ʟ
ɤ
z
ɸ
ɪ
ɒ
ɯ
ɽ
ɳ
v
ʘ
a
ǀ
ɦ
ʔ
w
ʀ
s
ʝ
ɐ
x
ɰ
ᶑ
ç
ǂ
l
θ
ʒ
ʡ
n
y
ǁ
ʁ
ʙ
ʌ
c
ɡ
ɕ
ʐ
e
q
ʎ
=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
{
̞
ˠ
˔
˖
͑
ˑ
(
̠
ˌ
̚
᷄
̼
̥
ˣ
̩
̻
̜
⸨
⸩
ⁿ
̊
͡
᷆
̴
̟
]
ʷ
˕
̄
̬
ˤ
̝
ˈ
᷇
᷉
↘
˧
[
ʲ
↗
ᶿ
́
˞
◌
̆
̀
ꜛ
̌
̪
ː
˨
̃
}
᷅
̂
ʰ
̘
|
ʼ
˥
̋
̰
̺
‖
̤
ˡ
̯
̈
̏
̙
ᵊ
̑
︎
˗
̽
̹
˦
᷈
‿
͜
/
˒
ꜜ
͗
̍
˓
͆
)
˩
