ə
θ
ɮ
ɦ
r
y
ʏ
ʑ
ɞ
ɰ
l
ɐ
ʋ
ɬ
ǀ
ɛ
ɣ
ɭ
p
a
ɡ
ʀ
ɴ
ɻ
ɺ
d
i
ɗ
ʒ
æ
ʁ
ʄ
ʢ
ʍ
ɵ
t
q
ɥ
ǃ
ɹ
ʉ
ʙ
ɜ
ɾ
ʘ
β
ɲ
ⱱ
ħ
ɑ
ʟ
b
ç
ʃ
ɨ
ɱ
ʡ
ɯ
ǁ
h
v
e
ɪ
ɶ
o
ø
u
ʂ
w
ʜ
x
ŋ
z
ʔ
œ
ɧ
ɒ
ɘ
n
ɠ
ʈ
ɔ
ʎ
ɕ
ʌ
ɟ
ð
s
ʛ
ɢ
ɽ
ɤ
ᶑ
ɖ
c
k
ǂ
ä
ɳ
ʊ
ʕ
ɫ
ʝ
ʐ
ɸ
ɓ
m
j
f
χ
=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
ᶿ
̂
˞
᷇
[
͆
˦
̯
˩
̟
̙
̽
ˣ
ˡ
̰
̥
̞
ꜜ
˕
̩
̈
ʼ
᷉
̼
᷅
‿
‖
ʰ
̜
̋
͗
/
ˈ
̄
︎
(
̠
᷆
{
᷈
ˠ
̑
͡
ˑ
|
̘
͜
ʲ
)
˥
̊
̍
↘
̴
᷄
ⁿ
ᵊ
◌
̺
⸩
̬
̻
ꜛ
ˤ
˔
˗
̏
.
̚
]
˧
͑
ʷ
̤
˖
}
̌
⸨
̃
˓
ː
̹
ˌ
↗
˒
̆
̝
̪
̀
˨
́
